(2,0,8000,22000,1100),
(2,1,8000,22000,1100),
(25,2,15000,25000,1500),
(2,3,8000,22000,1100),
(7,4,6000,18000,900),
(7,5,6000,18000,900),
(7,6,6000,18000,900),
(101,7,12000,22000,1500),
(49,8,15000,25000,1500),
(10,9,8000,22000,1100),
(25,10,15000,25000,1500),
(49,11,15000,25000,1500),
(25,12,15000,25000,1500),
(14,13,6000,18000,900),
(28,14,15000,25000,1500),
(101,15,15000,25000,1500),
(15,16,6000,18000,900),
(15,17,6000,18000,900),
(15,18,6000,18000,900),
(20,19,6000,18000,900),
(101,20,15000,25000,1500),
(20,21,6000,18000,900),
(25,22,6000,18000,900),
(25,23,6000,18000,900),
(25,24,6000,18000,900),
(101,25,17000,32000,1800),
(28,26,6000,18000,900),
(28,27,6000,18000,900),
(101,28,17000,32000,1800),
(30,29,15000,25000,1500),
(28,30,15000,25000,1500),
(33,31,6000,18000,900),
(33,32,6000,18000,900),
(101,33,12000,22000,1500),
(33,34,6000,18000,900),
(33,35,6000,18000,900),
(33,36,6000,18000,900),
(33,37,6000,18000,900),
(33,38,6000,18000,900),
(41,39,6000,18000,900),
(41,40,6000,18000,900),
(25,41,15000,25000,1500),
(41,42,6000,18000,900),
(49,43,15000,25000,1500),
(49,44,6000,18000,900),
(49,45,6000,18000,900),
(49,46,6000,18000,900),
(49,47,6000,18000,900),
(49,48,6000,18000,900),
(101,49,22000,35000,2100),
(49,50,6000,18000,900),
(49,51,6000,18000,900),
(49,52,6000,18000,900),
(49,53,6000,18000,900),
(49,54,6000,18000,900),
(49,55,6000,18000,900),
(49,56,6000,18000,900),
(49,57,15000,25000,1500),
(61,58,6000,18000,900),
(61,59,6000,18000,900),
(61,60,6000,18000,900),
(49,61,15000,25000,1500),
(61,62,6000,18000,900),
(49,63,15000,25000,1500),
(25,64,15000,25000,1500),
(64,65,6000,18000,900),
(101,66,15000,25000,1500),
(66,67,6000,18000,900),
(25,68,15000,25000,1500),
(68,69,17000,32000,1800),
(72,70,6000,18000,900),
(72,71,6000,18000,900),
(101,72,18000,27000,1500),
(72,73,6000,18000,900),
(49,74,15000,25000,1500),
(77,75,6000,18000,900),
(77,76,6000,18000,900),
(101,77,12000,22000,1500),
(81,78,6000,18000,900),
(81,79,6000,18000,900),
(81,80,6000,18000,900),
(49,81,12000,22000,1500),
(28,82,15000,25000,1500),
(49,83,15000,25000,1500),
(28,84,15000,25000,1500),
(28,85,15000,25000,1500),
(88,86,6000,18000,900),
(88,87,6000,18000,900),
(28,88,15000,25000,1500),
(28,89,15000,25000,1500),
(25,90,15000,25000,1500),
(93,91,6000,18000,900),
(93,92,6000,18000,900),
(25,93,15000,25000,1500),
(49,94,15000,25000,1500),
(28,95,15000,25000,1500),
(101,96,15000,25000,1500),
(96,97,6000,18000,900),
(101,98,6000,18000,900),
(101,99,6000,18000,900),
(101,100,6000,18000,900),
(101,102,6000,18000,900),
(101,103,6000,18000,900),
(101,104,6000,18000,900),
(49,105,15000,25000,1500),
(107,106,6000,18000,900),
(25,107,15000,25000,1500),
(109,108,6000,18000,900),
(49,109,15000,25000,1500),
(28,72,13000,22000,1000),
(28,49,18000,25000,15000),
(25,77,15000,25000,1500),
(28,57,15000,25000,1500),
(57,85,6000,18000,900),
(101,12,15000,25000,1500),
(25,96,15000,25000,1500);
