98,99,6000,18000,900
98,100,6000,18000,900
98,102,6000,18000,900
98,103,6000,18000,900
99,100,6000,18000,900
100,102,6000,18000,900
102,103,6000,18000,900
100,104,6000,18000,900
91,92,6000,18000,900
86,87,6000,18000,900
78,80,6000,18000,900
79,80,6000,18000,900
58,59,6000,18000,900
58,60,6000,18000,900
59,60,6000,18000,900
59,62,6000,18000,900
60,62,6000,18000,900
44,45,6000,18000,900
44,46,6000,18000,900
44,47,6000,18000,900
44,50,6000,18000,900
44,51,6000,18000,900
44,53,6000,18000,900
44,54,6000,18000,900
44,55,6000,18000,900
44,56,6000,18000,900
45,46,6000,18000,900
45,47,6000,18000,900
45,48,6000,18000,900
45,50,6000,18000,900
45,51,6000,18000,900
45,52,6000,18000,900
45,53,6000,18000,900
45,54,6000,18000,900
45,55,6000,18000,900
45,56,6000,18000,900
46,47,6000,18000,900
46,48,6000,18000,900
46,50,6000,18000,900
46,51,6000,18000,900
46,52,6000,18000,900
46,53,6000,18000,900
46,54,6000,18000,900
46,55,6000,18000,900
46,56,6000,18000,900
47,48,6000,18000,900
47,50,6000,18000,900
47,51,6000,18000,900
47,52,6000,18000,900
47,53,6000,18000,900
47,55,6000,18000,900
47,56,6000,18000,900
48,50,6000,18000,900
48,51,6000,18000,900
48,53,6000,18000,900
48,54,6000,18000,900
48,55,6000,18000,900
48,56,6000,18000,900
50,51,6000,18000,900
50,52,6000,18000,900
50,53,6000,18000,900
50,54,6000,18000,900
50,55,6000,18000,900
50,56,6000,18000,900
51,52,6000,18000,900
51,53,6000,18000,900
51,54,6000,18000,900
51,55,6000,18000,900
51,56,6000,18000,900
52,55,6000,18000,900
52,56,6000,18000,900
39,40,6000,18000,900
39,42,6000,18000,900
40,42,6000,18000,900
31,32,6000,18000,900
31,34,6000,18000,900
31,35,6000,18000,900
31,36,6000,18000,900
31,37,6000,18000,900
31,38,6000,18000,900
32,34,6000,18000,900
32,35,6000,18000,900
32,36,6000,18000,900
32,37,6000,18000,900
32,38,6000,18000,900
34,35,6000,18000,900
34,36,6000,18000,900
34,37,6000,18000,900
34,38,6000,18000,900
35,36,6000,18000,900
35,37,6000,18000,900
35,38,6000,18000,900
36,37,6000,18000,900
36,38,6000,18000,900
37,38,6000,18000,900
16,17,6000,18000,900
16,18,6000,18000,900
17,18,6000,18000,900
4,5,6000,18000,900
4,6,6000,18000,900
5,6,6000,18000,900
99,98,6000,18000,900
100,98,6000,18000,900
102,98,6000,18000,900
103,98,6000,18000,900
100,99,6000,18000,900
102,100,6000,18000,900
103,102,6000,18000,900
104,100,6000,18000,900
92,91,6000,18000,900
87,86,6000,18000,900
80,78,6000,18000,900
80,79,6000,18000,900
59,58,6000,18000,900
60,58,6000,18000,900
60,59,6000,18000,900
62,59,6000,18000,900
62,60,6000,18000,900
45,44,6000,18000,900
46,44,6000,18000,900
47,44,6000,18000,900
50,44,6000,18000,900
51,44,6000,18000,900
53,44,6000,18000,900
54,44,6000,18000,900
55,44,6000,18000,900
56,44,6000,18000,900
46,45,6000,18000,900
47,45,6000,18000,900
48,45,6000,18000,900
50,45,6000,18000,900
51,45,6000,18000,900
52,45,6000,18000,900
53,45,6000,18000,900
54,45,6000,18000,900
55,45,6000,18000,900
56,45,6000,18000,900
47,46,6000,18000,900
48,46,6000,18000,900
50,46,6000,18000,900
51,46,6000,18000,900
52,46,6000,18000,900
53,46,6000,18000,900
54,46,6000,18000,900
55,46,6000,18000,900
56,46,6000,18000,900
48,47,6000,18000,900
50,47,6000,18000,900
51,47,6000,18000,900
52,47,6000,18000,900
53,47,6000,18000,900
55,47,6000,18000,900
56,47,6000,18000,900
50,48,6000,18000,900
51,48,6000,18000,900
53,48,6000,18000,900
54,48,6000,18000,900
55,48,6000,18000,900
56,48,6000,18000,900
51,50,6000,18000,900
52,50,6000,18000,900
53,50,6000,18000,900
54,50,6000,18000,900
55,50,6000,18000,900
56,50,6000,18000,900
52,51,6000,18000,900
53,51,6000,18000,900
54,51,6000,18000,900
55,51,6000,18000,900
56,51,6000,18000,900
55,52,6000,18000,900
56,52,6000,18000,900
40,39,6000,18000,900
42,39,6000,18000,900
42,40,6000,18000,900
32,31,6000,18000,900
34,31,6000,18000,900
35,31,6000,18000,900
36,31,6000,18000,900
37,31,6000,18000,900
38,31,6000,18000,900
34,32,6000,18000,900
35,32,6000,18000,900
36,32,6000,18000,900
37,32,6000,18000,900
38,32,6000,18000,900
35,34,6000,18000,900
36,34,6000,18000,900
37,34,6000,18000,900
38,34,6000,18000,900
36,35,6000,18000,900
37,35,6000,18000,900
38,35,6000,18000,900
37,36,6000,18000,900
38,36,6000,18000,900
38,37,6000,18000,900
17,16,6000,18000,900
18,16,6000,18000,900
18,17,6000,18000,900
5,4,6000,18000,900
6,4,6000,18000,900
6,5,6000,18000,900
